ID	Name	Designator	Footprint	Quantity	Manufacturer Part	Manufacturer	Supplier	Supplier Part	Price
"1"	"LED-SMD_WS2812B-4020"	"LED1,LED2,LED3"	"LED-SMD_WS2812B-4020"	"3"	"WS2812B-4020"	"Worldsemi"	"LCSC"	"C965557"	"0.116"
"2"	"SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2"	"BIO,MET,GEO"	"SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2"	"3"	"TS-1187A-C-C-B"	"XKB Enterprise"	"LCSC"	"C318889"	"0.024"
